Brand,Total,#1 Release
Marvel Comics,15806336901,Avengers: Endgame
Legendary Pictures,7018798067,Jurassic World
Lucasfilm,6325022918,Star Wars: Episode VII - The Force Awakens
Pixar,6078217662,Incredibles 2
DC Comics,5815645953,The Dark Knight
DreamWorks Animation,5792217737,Shrek 2
Vertigo Entertainment,3154664176,It
Bad Robot,3077078931,Star Wars: Episode VII - The Force Awakens
Walt Disney Animation Studios,2774912904,Frozen II
Illumination Entertainment,2759505881,The Secret Life of Pets
Blumhouse Productions,2451844676,Get Out
Hasbro,2079485824,Transformers: Revenge of the Fallen
Nickelodeon,1930746182,Teenage Mutant Ninja Turtles
Sony Pictures Animation,1918763863,Spider-Man: Into the Spider-Verse
Walden Media,1842852183,The Chronicles of Narnia: The Lion the Witch and the Wardrobe
Blue Sky,1740428763,Ice Age 3: Dawn of the Dinosaurs
Stephen King,1729648950,It
MTV,1520456359,The Longest Yard
Platinum Dunes,1422911399,Teenage Mutant Ninja Turtles
