masks,images
Human-Segmentation-Dataset-master/Ground_Truth/1.png,Human-Segmentation-Dataset-master/Training_Images/1.jpg
Human-Segmentation-Dataset-master/Ground_Truth/10.png,Human-Segmentation-Dataset-master/Training_Images/10.jpg
Human-Segmentation-Dataset-master/Ground_Truth/100.png,Human-Segmentation-Dataset-master/Training_Images/100.jpg
Human-Segmentation-Dataset-master/Ground_Truth/101.png,Human-Segmentation-Dataset-master/Training_Images/101.jpg
Human-Segmentation-Dataset-master/Ground_Truth/102.png,Human-Segmentation-Dataset-master/Training_Images/102.jpg
Human-Segmentation-Dataset-master/Ground_Truth/103.png,Human-Segmentation-Dataset-master/Training_Images/103.jpg
Human-Segmentation-Dataset-master/Ground_Truth/104.png,Human-Segmentation-Dataset-master/Training_Images/104.jpg
Human-Segmentation-Dataset-master/Ground_Truth/105.png,Human-Segmentation-Dataset-master/Training_Images/105.jpg
Human-Segmentation-Dataset-master/Ground_Truth/106.png,Human-Segmentation-Dataset-master/Training_Images/106.jpg
Human-Segmentation-Dataset-master/Ground_Truth/107.png,Human-Segmentation-Dataset-master/Training_Images/107.jpg
Human-Segmentation-Dataset-master/Ground_Truth/108.png,Human-Segmentation-Dataset-master/Training_Images/108.jpg
Human-Segmentation-Dataset-master/Ground_Truth/109.png,Human-Segmentation-Dataset-master/Training_Images/109.jpg
Human-Segmentation-Dataset-master/Ground_Truth/11.png,Human-Segmentation-Dataset-master/Training_Images/11.jpg
Human-Segmentation-Dataset-master/Ground_Truth/110.png,Human-Segmentation-Dataset-master/Training_Images/110.jpg
Human-Segmentation-Dataset-master/Ground_Truth/111.png,Human-Segmentation-Dataset-master/Training_Images/111.jpg
Human-Segmentation-Dataset-master/Ground_Truth/112.png,Human-Segmentation-Dataset-master/Training_Images/112.jpg
Human-Segmentation-Dataset-master/Ground_Truth/113.png,Human-Segmentation-Dataset-master/Training_Images/113.jpg
Human-Segmentation-Dataset-master/Ground_Truth/114.png,Human-Segmentation-Dataset-master/Training_Images/114.jpg
Human-Segmentation-Dataset-master/Ground_Truth/115.png,Human-Segmentation-Dataset-master/Training_Images/115.jpg
Human-Segmentation-Dataset-master/Ground_Truth/116.png,Human-Segmentation-Dataset-master/Training_Images/116.jpg
Human-Segmentation-Dataset-master/Ground_Truth/117.png,Human-Segmentation-Dataset-master/Training_Images/117.jpg
Human-Segmentation-Dataset-master/Ground_Truth/118.png,Human-Segmentation-Dataset-master/Training_Images/118.jpg
Human-Segmentation-Dataset-master/Ground_Truth/119.png,Human-Segmentation-Dataset-master/Training_Images/119.jpg
Human-Segmentation-Dataset-master/Ground_Truth/12.png,Human-Segmentation-Dataset-master/Training_Images/12.jpg
Human-Segmentation-Dataset-master/Ground_Truth/120.png,Human-Segmentation-Dataset-master/Training_Images/120.jpg
Human-Segmentation-Dataset-master/Ground_Truth/121.png,Human-Segmentation-Dataset-master/Training_Images/121.jpg
Human-Segmentation-Dataset-master/Ground_Truth/122.png,Human-Segmentation-Dataset-master/Training_Images/122.jpg
Human-Segmentation-Dataset-master/Ground_Truth/123.png,Human-Segmentation-Dataset-master/Training_Images/123.jpg
Human-Segmentation-Dataset-master/Ground_Truth/124.png,Human-Segmentation-Dataset-master/Training_Images/124.jpg
Human-Segmentation-Dataset-master/Ground_Truth/125.png,Human-Segmentation-Dataset-master/Training_Images/125.jpg
Human-Segmentation-Dataset-master/Ground_Truth/126.png,Human-Segmentation-Dataset-master/Training_Images/126.jpg
Human-Segmentation-Dataset-master/Ground_Truth/127.png,Human-Segmentation-Dataset-master/Training_Images/127.jpg
Human-Segmentation-Dataset-master/Ground_Truth/128.png,Human-Segmentation-Dataset-master/Training_Images/128.jpg
Human-Segmentation-Dataset-master/Ground_Truth/129.png,Human-Segmentation-Dataset-master/Training_Images/129.jpg
Human-Segmentation-Dataset-master/Ground_Truth/13.png,Human-Segmentation-Dataset-master/Training_Images/13.jpg
Human-Segmentation-Dataset-master/Ground_Truth/130.png,Human-Segmentation-Dataset-master/Training_Images/130.jpg
Human-Segmentation-Dataset-master/Ground_Truth/131.png,Human-Segmentation-Dataset-master/Training_Images/131.jpg
Human-Segmentation-Dataset-master/Ground_Truth/132.png,Human-Segmentation-Dataset-master/Training_Images/132.jpg
Human-Segmentation-Dataset-master/Ground_Truth/133.png,Human-Segmentation-Dataset-master/Training_Images/133.jpg
Human-Segmentation-Dataset-master/Ground_Truth/134.png,Human-Segmentation-Dataset-master/Training_Images/134.jpg
Human-Segmentation-Dataset-master/Ground_Truth/135.png,Human-Segmentation-Dataset-master/Training_Images/135.jpg
Human-Segmentation-Dataset-master/Ground_Truth/136.png,Human-Segmentation-Dataset-master/Training_Images/136.jpg
Human-Segmentation-Dataset-master/Ground_Truth/137.png,Human-Segmentation-Dataset-master/Training_Images/137.jpg
Human-Segmentation-Dataset-master/Ground_Truth/138.png,Human-Segmentation-Dataset-master/Training_Images/138.jpg
Human-Segmentation-Dataset-master/Ground_Truth/139.png,Human-Segmentation-Dataset-master/Training_Images/139.jpg
Human-Segmentation-Dataset-master/Ground_Truth/14.png,Human-Segmentation-Dataset-master/Training_Images/14.jpg
Human-Segmentation-Dataset-master/Ground_Truth/140.png,Human-Segmentation-Dataset-master/Training_Images/140.jpg
Human-Segmentation-Dataset-master/Ground_Truth/141.png,Human-Segmentation-Dataset-master/Training_Images/141.jpg
Human-Segmentation-Dataset-master/Ground_Truth/142.png,Human-Segmentation-Dataset-master/Training_Images/142.jpg
Human-Segmentation-Dataset-master/Ground_Truth/143.png,Human-Segmentation-Dataset-master/Training_Images/143.jpg
Human-Segmentation-Dataset-master/Ground_Truth/144.png,Human-Segmentation-Dataset-master/Training_Images/144.jpg
Human-Segmentation-Dataset-master/Ground_Truth/145.png,Human-Segmentation-Dataset-master/Training_Images/145.jpg
Human-Segmentation-Dataset-master/Ground_Truth/146.png,Human-Segmentation-Dataset-master/Training_Images/146.jpg
Human-Segmentation-Dataset-master/Ground_Truth/147.png,Human-Segmentation-Dataset-master/Training_Images/147.jpg
Human-Segmentation-Dataset-master/Ground_Truth/148.png,Human-Segmentation-Dataset-master/Training_Images/148.jpg
