product_id,product_name,category,price,review_score,review_count,sales_month_1,sales_month_2,sales_month_3,sales_month_4,sales_month_5,sales_month_6,sales_month_7,sales_month_8,sales_month_9,sales_month_10,sales_month_11,sales_month_12
1,Product_1,Clothing,190.4,1.7,220,479,449,92,784,604,904,446,603,807,252,695,306
2,Product_2,Home & Kitchen,475.6,3.2,903,21,989,861,863,524,128,610,436,176,294,772,353
3,Product_3,Toys,367.34,4.5,163,348,558,567,143,771,409,290,828,340,667,267,392
4,Product_4,Toys,301.34,3.9,951,725,678,59,15,937,421,670,933,56,157,168,203
5,Product_5,Books,82.23,4.2,220,682,451,649,301,620,293,411,258,854,548,770,257
6,Product_6,Toys,82.22,3.6,270,834,288,38,422,329,245,614,979,851,630,738,485
7,Product_7,Electronics,33.75,3.8,632,565,140,539,244,188,700,896,965,447,66,32,516
8,Product_8,Electronics,433.76,4.4,906,905,83,48,926,94,555,280,102,202,753,376,445
9,Product_9,Electronics,302.55,2,848,809,693,419,106,616,85,42,992,696,298,213,708
10,Product_10,Clothing,355.5,3,400,319,390,636,87,7,555,485,566,632,462,561,179
11,Product_11,Toys,15.19,1.9,182,125,590,12,128,66,841,595,768,737,724,439,341
12,Product_12,Health,485.11,5,991,276,214,991,906,495,374,962,100,201,819,491,132
13,Product_13,Electronics,417.06,4.8,618,975,525,35,886,190,445,702,197,329,100,392,442
14,Product_14,Books,110.11,1.2,729,203,214,100,340,365,377,50,812,362,55,488,835
15,Product_15,Clothing,95,3.8,205,193,402,793,3,767,389,897,225,891,331,721,252
16,Product_16,Books,95.79,4.7,582,680,127,85,326,520,656,209,942,453,835,945,264
17,Product_17,Toys,155.6,1.7,556,663,821,515,409,989,50,125,462,355,750,28,92
18,Product_18,Home & Kitchen,264.75,3.3,841,546,476,222,878,116,241,491,236,215,392,38,661
19,Product_19,Books,218.81,4.7,813,695,759,337,305,266,293,508,25,971,742,858,410
20,Product_20,Home & Kitchen,149.16,1.1,228,285,403,959,907,610,919,959,120,554,873,611,137
21,Product_21,Clothing,307.87,3.8,696,56,28,165,606,484,562,969,909,886,380,172,207
22,Product_22,Books,74.05,2.2,619,733,791,382,720,508,265,580,505,22,91,16,636
23,Product_23,Books,149.61,4.7,596,302,337,855,224,297,119,776,181,154,790,55,745
24,Product_24,Sports,186.35,4.9,850,162,830,894,970,908,711,257,710,185,446,225,572
25,Product_25,Clothing,230.75,4.8,250,18,713,375,347,163,916,929,813,248,108,557,306
26,Product_26,Clothing,393.66,2.9,875,369,360,470,991,375,247,187,766,748,316,66,265
27,Product_27,Electronics,103.84,4.4,441,263,568,789,320,652,69,229,633,804,167,196,645
28,Product_28,Toys,259.55,4.4,533,793,391,641,558,267,852,188,542,133,811,653,317
29,Product_29,Books,298.25,2.3,196,112,217,30,987,548,56,414,983,320,981,834,112
30,Product_30,Books,27.99,4.3,690,487,573,374,180,73,381,9,314,389,919,22,900
31,Product_31,Health,305.73,1.1,929,326,668,10,617,507,38,113,990,433,434,998,377
32,Product_32,Clothing,89.41,3.4,987,541,201,987,710,72,983,75,796,21,441,605,453
33,Product_33,Clothing,37.2,1.9,519,646,16,301,385,307,800,675,617,872,217,753,190
34,Product_34,Toys,474.7,1.5,70,578,321,95,617,198,442,501,735,599,221,236,890
35,Product_35,Clothing,482.99,1.3,639,64,517,189,791,129,17,84,272,664,672,956,439
36,Product_36,Home & Kitchen,405.16,3.8,399,291,569,452,771,757,951,48,909,124,527,918,186
37,Product_37,Home & Kitchen,155.78,2.4,978,24,324,191,107,823,731,494,231,78,277,922,830
38,Product_38,Sports,53.35,3.9,672,548,411,485,530,571,824,837,419,857,568,565,366
39,Product_39,Home & Kitchen,343.7,1.3,760,0,317,265,409,790,755,688,767,967,573,137,88
40,Product_40,Home & Kitchen,222.88,2.3,203,910,680,423,970,614,351,386,441,50,874,472,186
41,Product_41,Toys,65.41,3.2,148,548,964,127,295,807,971,969,495,727,465,844,818
42,Product_42,Books,250.11,4.2,472,140,81,237,817,831,815,388,23,175,838,783,945
43,Product_43,Home & Kitchen,22.02,2.3,655,743,473,919,170,486,297,217,108,869,753,552,131
44,Product_44,Sports,455.11,3.5,944,647,467,354,330,852,282,700,702,252,601,609,871
45,Product_45,Clothing,133.1,4.5,199,900,424,939,492,150,585,980,501,965,583,694,634
46,Product_46,Home & Kitchen,332.95,3.5,917,187,944,111,194,668,109,345,858,245,837,639,559
47,Product_47,Sports,159.3,1.9,426,127,730,827,11,205,179,229,24,738,29,228,799
48,Product_48,Toys,262.43,1.1,666,200,688,445,194,985,937,254,186,105,358,316,375
49,Product_49,Health,275.62,4.5,492,126,203,342,489,178,543,235,287,192,918,597,690
50,Product_50,Health,96.5,1.1,888,256,582,144,794,196,745,25,627,315,287,767,691
51,Product_51,Health,484.94,4.5,896,675,386,64,880,734,793,583,337,301,85,720,98
52,Product_52,Clothing,388.69,3.1,142,546,777,246,181,88,24,260,877,547,233,726,841
53,Product_53,Sports,470.05,4.8,313,193,97,734,961,798,842,765,913,953,746,885,33
54,Product_54,Home & Kitchen,447.94,4.2,165,702,344,990,816,433,790,270,36,715,312,611,931
55,Product_55,Books,300.96,5,314,103,802,489,655,787,737,122,793,933,364,560,581
56,Product_56,Clothing,461.33,2.4,21,534,207,824,897,747,56,655,136,778,776,200,170
57,Product_57,Clothing,48.8,4.1,82,264,513,438,315,182,179,256,507,267,798,947,365
58,Product_58,Health,102.01,2.6,581,801,635,105,693,208,231,655,226,169,838,257,783
59,Product_59,Books,27.39,2.9,131,941,791,180,29,492,893,420,319,550,904,479,58
60,Product_60,Health,166.04,3.5,599,973,585,183,595,129,342,258,839,454,268,887,180
61,Product_61,Clothing,197.4,4.5,730,383,165,225,677,664,476,947,915,650,697,177,18
62,Product_62,Home & Kitchen,139.32,4.9,933,259,21,776,795,12,798,46,181,291,130,756,225
63,Product_63,Health,415.23,4.1,984,413,153,789,792,633,575,862,873,563,802,122,472
64,Product_64,Health,181.59,2.7,305,990,938,908,95,870,454,524,85,798,992,341,94
65,Product_65,Health,144.06,2.7,915,357,438,88,380,731,231,887,466,800,788,170,880
66,Product_66,Clothing,273.63,4,371,74,294,687,777,105,288,207,925,140,831,844,296
67,Product_67,Home & Kitchen,74.76,2,857,354,218,529,443,374,212,310,52,145,350,647,592
68,Product_68,Books,402.09,1.4,853,583,668,370,297,581,257,746,859,424,179,58,174
69,Product_69,Electronics,41.9,2.4,384,770,494,971,807,706,529,148,866,313,801,704,221
70,Product_70,Books,493.51,2.1,908,909,229,935,736,697,686,833,234,183,479,464,614
71,Product_71,Home & Kitchen,387.26,2.2,445,187,19,912,844,98,928,437,958,663,888,779,53
72,Product_72,Toys,103.36,1.9,425,972,986,398,360,593,228,154,778,712,162,259,694
73,Product_73,Health,7.73,1.2,161,684,552,105,373,586,225,677,798,127,782,372,862
74,Product_74,Books,408.65,1.1,178,991,949,270,553,885,595,89,432,286,887,972,402
75,Product_75,Toys,354.89,5,629,289,147,974,302,851,802,697,495,822,95,94,317
76,Product_76,Toys,365.86,2.7,708,44,107,830,420,191,434,829,998,252,773,124,866
77,Product_77,Home & Kitchen,386.78,2.5,895,572,402,502,245,324,881,357,99,1000,509,40,348
78,Product_78,Home & Kitchen,41.65,3.7,490,82,595,678,719,978,757,173,989,777,364,890,442
79,Product_79,Health,182.44,1.9,327,122,482,524,236,725,401,216,598,699,980,253,832
80,Product_80,Electronics,62.36,4.8,598,357,366,848,533,826,621,906,402,385,352,6,579
81,Product_81,Sports,432.24,4.1,289,527,833,31,184,955,765,455,395,229,799,470,539
82,Product_82,Clothing,313.53,1.4,593,65,413,392,467,466,87,775,526,270,435,727,785
83,Product_83,Books,168.79,2.7,664,935,308,39,753,893,583,608,414,770,82,510,281
84,Product_84,Home & Kitchen,36.46,4.5,573,656,801,659,362,366,892,628,938,810,224,580,359
85,Product_85,Books,158.94,4.8,573,374,917,217,282,317,541,198,612,414,411,68,914
86,Product_86,Sports,165.97,2.9,354,161,834,730,552,143,683,831,676,197,734,80,822
87,Product_87,Sports,366.16,3.5,28,745,133,980,335,383,308,485,462,322,980,541,630
88,Product_88,Health,320.59,1.7,954,379,718,81,161,215,905,532,540,55,117,584,891
89,Product_89,Toys,444.17,5,43,655,282,844,159,360,342,199,625,830,481,261,952
90,Product_90,Health,238.75,1.9,681,357,777,719,473,323,435,370,618,202,191,88,645
91,Product_91,Clothing,64.2,4.8,423,187,72,200,600,14,176,958,921,782,590,914,640
92,Product_92,Electronics,358.06,3.6,598,321,480,446,321,216,138,852,363,620,589,207,7
93,Product_93,Books,381.59,3.4,177,449,351,843,11,491,193,447,129,627,658,212,992
94,Product_94,Clothing,282.83,3.1,529,473,559,427,423,950,185,247,83,603,106,833,562
95,Product_95,Electronics,386.63,1.9,610,12,325,37,72,546,217,787,270,137,381,265,490
96,Product_96,Books,249.43,1.7,966,183,744,210,587,182,163,263,243,421,782,911,340
97,Product_97,Clothing,263.75,1.9,494,110,442,443,857,269,160,57,387,814,389,292,471
98,Product_98,Home & Kitchen,216.63,1.7,198,926,99,326,200,944,942,301,213,56,243,206,792
99,Product_99,Books,17.58,4.1,610,507,58,760,521,466,524,30,817,561,584,332,686
100,Product_100,Clothing,58.41,2.4,577,289,507,226,863,869,807,497,165,70,868,76,694
101,Product_101,Sports,20.56,1.2,842,294,257,47,504,611,600,248,790,910,467,287,703
102,Product_102,Electronics,320.02,4.9,853,450,412,17,737,518,835,604,58,913,865,46,248
103,Product_103,Clothing,160.61,4.5,517,903,451,911,687,541,41,776,601,593,933,621,234
104,Product_104,Home & Kitchen,256.74,4.7,514,214,64,438,787,466,914,270,882,371,537,199,82
105,Product_105,Health,454.25,5,22,973,594,806,38,304,209,605,842,616,209,426,92
106,Product_106,Books,128.4,1.7,112,631,153,707,59,984,740,665,923,599,603,209,884
107,Product_107,Books,208.14,2.6,57,893,984,186,577,143,861,393,503,513,636,887,393
108,Product_108,Books,379,4,66,566,265,344,320,110,274,796,705,871,946,419,823
109,Product_109,Home & Kitchen,118.26,3.8,842,26,820,223,434,231,953,501,122,83,72,153,267
110,Product_110,Electronics,43.11,1.6,98,629,78,829,635,690,278,591,647,993,991,521,416
111,Product_111,Books,148.43,4.3,144,732,314,487,675,583,250,803,412,42,634,414,631
112,Product_112,Electronics,84.8,1.9,880,230,661,908,407,721,309,83,138,665,308,352,582
113,Product_113,Clothing,465.2,1.9,435,564,946,876,922,731,719,364,228,838,695,156,528
114,Product_114,Sports,405.02,3.1,637,806,559,848,385,591,832,885,273,933,698,260,252
115,Product_115,Sports,318.53,3.4,679,320,916,228,670,499,139,548,438,605,709,76,956
116,Product_116,Electronics,436.37,3.3,86,912,890,389,568,594,791,341,561,809,589,768,121
117,Product_117,Electronics,402.82,1.4,588,232,247,978,77,553,545,838,909,132,859,982,891
118,Product_118,Sports,97.35,4.5,344,669,789,588,193,272,820,406,117,394,185,487,9
119,Product_119,Books,446.82,2.1,936,436,867,187,284,702,903,424,713,64,855,130,798
120,Product_120,Toys,271.97,1.5,294,780,609,857,526,172,529,743,994,289,252,578,315
121,Product_121,Toys,404.68,4.6,956,532,413,269,523,972,56,92,904,375,12,454,837
122,Product_122,Home & Kitchen,448.57,4.8,571,402,24,606,612,6,111,847,482,768,298,739,272
123,Product_123,Health,162.41,4.4,650,52,283,309,155,154,4,613,394,466,75,162,305
124,Product_124,Sports,59.48,4.2,611,786,448,131,339,521,409,411,702,897,50,14,804
125,Product_125,Sports,117.83,3.6,704,312,880,550,124,545,413,431,875,212,786,231,209
126,Product_126,Home & Kitchen,216.42,3.2,243,280,300,71,870,547,181,677,459,147,148,194,957
127,Product_127,Toys,409.92,1.3,831,725,67,792,279,920,12,158,834,572,730,860,729
128,Product_128,Clothing,431.06,2.6,561,30,6,844,916,517,338,13,692,470,121,541,752
129,Product_129,Books,8.44,2.5,960,336,816,671,905,919,796,372,934,148,210,358,885
130,Product_130,Books,257.82,2,32,182,136,186,621,913,258,224,77,87,279,849,463
131,Product_131,Clothing,211.62,3.9,391,22,163,485,845,214,89,504,951,323,537,330,711
132,Product_132,Clothing,114.94,3,277,543,82,190,868,133,615,72,411,894,684,426,727
133,Product_133,Toys,64.33,1.3,532,445,896,421,657,284,890,248,74,395,155,496,716
134,Product_134,Home & Kitchen,172.12,1.9,154,73,649,119,727,125,697,510,294,789,237,827,924
135,Product_135,Clothing,471.74,3.7,383,9,419,219,909,920,249,602,792,403,375,485,415
136,Product_136,Home & Kitchen,164.99,1.3,68,483,72,52,673,438,254,215,20,81,81,807,215
137,Product_137,Health,261.8,4.4,878,455,236,733,127,848,587,972,905,640,491,448,79
138,Product_138,Electronics,352.99,3,884,565,45,450,313,685,897,601,170,285,355,412,778
139,Product_139,Books,185,2.9,214,563,617,411,331,151,970,540,14,381,924,329,479
140,Product_140,Toys,486.03,3.4,655,659,927,642,149,330,107,946,210,864,272,731,901
141,Product_141,Books,481.41,4.3,376,159,799,236,453,537,667,816,559,791,579,888,890
142,Product_142,Toys,129.63,2.4,744,881,261,757,35,382,593,938,85,269,43,990,546
143,Product_143,Electronics,251.14,3.7,213,13,175,737,684,114,588,987,148,291,572,146,800
