Case_ID,Class_0_Dice,Class_1_Dice,Class_2_Dice,Class_3_Dice
AJ11_gt,0.9998,0.7449,0.9854,0.9867
AJ13_gt,0.9988,0.5882,0.8981,0.9743
AJ15_gt,0.9999,0.4918,0.9891,0.9945
AJ16_gt,0.9991,0.2159,0.9531,0.9278
AJ18_gt,0.9997,0.6700,0.9797,0.9763
AJ19_gt,0.9991,0.9474,0.9443,0.9641
AJ20_gt,0.9997,0.6667,0.9834,0.9726
AJ21_gt,0.9997,0.8682,0.9882,0.9795
AJ26_gt,0.9997,0.9218,0.9687,0.9995
AJ3_gt,0.9996,0.9659,0.9574,0.9829
AJ4_gt,0.9993,0.8291,0.9565,0.9210
AJ5_gt,0.9985,0.6589,0.8470,0.8959
AJ7_gt,0.9997,0.9121,0.9818,0.9607
SU12_gt,0.9993,0.0000,0.8538,0.9046
SU20_gt,0.9993,0.3038,0.9291,0.9840
SU24_gt,0.9997,0.0000,0.9798,0.9800
SU25_gt,0.9997,0.9818,0.9746,0.9765
SU27_gt,0.9994,0.7173,0.9667,0.9420
SU29_gt,0.9991,0.8622,0.9019,0.9749
SU30_gt,0.9998,0.9033,0.9845,0.9835
SU35_gt,0.9996,0.2388,0.9828,0.9476
SU7_gt,0.9992,0.8703,0.9662,0.9253
